Order_ID,Order_Date,Customer_Name,Category,Product_Name,Quantity,Unit_Price,Sales,Profit,Region,City,Payment_Method,Rating
ORD00001,2024-12-12,Customer_5,Office Supplies,Pen,4,41.25,165.0,84.84,North,Lucknow,UPI,3.4
ORD00002,2025-01-01,Customer_76,Electronics,Mobile,9,33284.79,299563.11,55022.17,South,Hyderabad,COD,1.9
ORD00003,2025-01-25,Customer_49,Furniture,Wardrobe,7,18888.02,132216.14,22388.0,North,Chandigarh,Net Banking,1.4
ORD00004,2024-07-12,Customer_81,Electronics,Keyboard,1,3783.79,3783.79,1143.36,East,Patna,UPI,3.2
ORD00005,2024-02-10,Customer_49,Office Supplies,Scissors,1,281.44,281.44,111.56,South,Chennai,Card,4.5
ORD00006,2024-12-25,Customer_22,Furniture,Sofa,6,27763.54,166581.24,38348.75,East,Bhubaneswar,UPI,3.4
ORD00007,2024-12-18,Customer_99,Office Supplies,Marker,7,68.59,480.13,228.31,South,Kochi,Card,3.7
ORD00008,2024-10-17,Customer_64,Electronics,Headphones,7,4748.37,33238.59,7733.26,North,Lucknow,Net Banking,1.9
ORD00009,2024-10-02,Customer_55,Furniture,Bookshelf,5,3396.3,16981.5,3815.73,West,Pune,Net Banking,4.0
ORD00010,2024-01-25,Customer_21,Office Supplies,Folder,3,116.62,349.86,138.35,East,Bhubaneswar,UPI,1.6
ORD00011,2024-05-08,Customer_15,Office Supplies,Folder,7,131.3,919.1,384.26,North,Jaipur,UPI,3.7
ORD00012,2025-01-04,Customer_98,Office Supplies,Printer Paper,5,821.72,4108.6,1221.17,East,Kolkata,Net Banking,4.9
ORD00013,2025-02-02,Customer_63,Electronics,Mobile,3,23704.38,71113.14,11356.27,East,Bhubaneswar,UPI,3.4
ORD00014,2024-02-10,Customer_9,Electronics,Mobile,4,10432.86,41731.44,8458.15,East,Patna,UPI,3.9
ORD00015,2024-11-06,Customer_70,Office Supplies,Stapler,9,257.33,2315.97,814.43,South,Kochi,COD,4.9
ORD00016,2024-03-02,Customer_44,Office Supplies,Marker,6,98.86,593.16,267.55,East,Guwahati,Card,1.9
ORD00017,2024-02-04,Customer_10,Electronics,Headphones,2,10909.77,21819.54,4877.37,South,Chennai,UPI,4.4
ORD00018,2025-03-27,Customer_61,Office Supplies,Marker,4,117.06,468.24,216.98,East,Guwahati,COD,2.0
ORD00019,2025-03-18,Customer_83,Furniture,Desk,7,10794.55,75561.85,14709.33,North,Delhi,UPI,3.7
ORD00020,2024-08-17,Customer_36,Electronics,Laptop,2,44919.38,89838.76,9110.78,West,Ahmedabad,Card,2.7
ORD00021,2024-10-03,Customer_97,Furniture,Desk,9,5153.99,46385.91,9700.62,North,Jaipur,UPI,4.9
ORD00022,2024-01-31,Customer_50,Electronics,Monitor,8,11916.19,95329.52,13733.4,West,Surat,Card,2.5
ORD00023,2025-02-05,Customer_38,Furniture,Wardrobe,7,30290.93,212036.51,43219.47,West,Ahmedabad,COD,1.6
ORD00024,2025-03-12,Customer_66,Electronics,Laptop,1,33008.54,33008.54,3915.05,North,Lucknow,Card,1.2
ORD00025,2024-10-18,Customer_6,Electronics,Monitor,4,16286.84,65147.36,11498.23,North,Delhi,Card,3.3
ORD00026,2024-05-02,Customer_86,Office Supplies,Pen,5,38.6,193.0,99.0,West,Ahmedabad,Net Banking,2.6
ORD00027,2024-10-15,Customer_28,Office Supplies,Printer Paper,2,311.18,622.36,191.23,West,Ahmedabad,UPI,1.3
ORD00028,2024-03-21,Customer_91,Office Supplies,Printer Paper,2,1355.12,2710.24,791.86,South,Bangalore,COD,4.3
ORD00029,2024-02-29,Customer_20,Furniture,Cupboard,2,28473.25,56946.5,8431.35,North,Lucknow,UPI,4.0
ORD00030,2024-09-15,Customer_7,Furniture,Table,4,12999.95,51999.8,10981.05,South,Bangalore,COD,2.0
ORD00031,2024-05-14,Customer_71,Electronics,Mouse,1,1200.6,1200.6,393.62,East,Kolkata,Card,4.0
ORD00032,2024-03-17,Customer_75,Office Supplies,Folder,2,190.66,381.32,164.52,North,Delhi,UPI,4.3
ORD00033,2025-02-11,Customer_27,Office Supplies,Stapler,1,350.37,350.37,131.02,West,Pune,UPI,4.6
ORD00034,2024-11-13,Customer_31,Office Supplies,Marker,9,179.14,1612.26,716.46,North,Lucknow,Card,4.7
ORD00035,2024-07-29,Customer_90,Electronics,Monitor,3,23940.98,71822.94,10050.27,West,Mumbai,Card,2.1
ORD00036,2024-06-28,Customer_30,Electronics,Mouse,4,838.85,3355.4,1258.63,North,Jaipur,Net Banking,4.3
ORD00037,2025-01-30,Customer_66,Electronics,Laptop,6,46716.18,280297.08,26394.24,South,Kochi,Net Banking,2.4
ORD00038,2024-10-24,Customer_77,Furniture,Bookshelf,2,10770.38,21540.76,4214.94,East,Kolkata,Net Banking,1.2
ORD00039,2024-10-22,Customer_91,Furniture,Table,10,17747.77,177477.7,29627.9,East,Guwahati,Card,2.0
ORD00040,2024-06-18,Customer_16,Furniture,Chair,7,3259.53,22816.71,4331.85,South,Bangalore,Net Banking,3.7
ORD00041,2024-03-06,Customer_49,Office Supplies,Printer Paper,6,782.88,4697.28,1351.59,East,Guwahati,Card,2.7
ORD00042,2024-04-17,Customer_78,Office Supplies,Stapler,9,691.92,6227.28,2106.27,East,Guwahati,COD,4.1
ORD00043,2025-02-10,Customer_37,Office Supplies,Scissors,8,286.47,2291.76,872.41,West,Surat,Card,3.6
ORD00044,2024-01-13,Customer_61,Office Supplies,Scissors,5,128.62,643.1,232.77,North,Chandigarh,UPI,2.0
ORD00045,2024-09-10,Customer_84,Office Supplies,Pen,10,37.22,372.2,190.48,West,Surat,COD,2.0
ORD00046,2024-09-22,Customer_32,Office Supplies,Notebook,4,93.97,375.88,160.68,North,Jaipur,COD,1.2
ORD00047,2025-01-21,Customer_93,Electronics,Printer,9,19818.39,178365.51,25992.7,South,Kochi,COD,3.5
ORD00048,2025-03-06,Customer_67,Office Supplies,Folder,8,106.51,852.08,370.75,West,Pune,Net Banking,4.1
ORD00049,2024-05-19,Customer_70,Furniture,Bookshelf,8,2774.83,22198.64,4376.32,South,Bangalore,Net Banking,2.3
ORD00050,2024-02-02,Customer_70,Electronics,Monitor,7,22960.85,160725.95,26099.51,South,Hyderabad,COD,2.6
ORD00051,2024-12-22,Customer_98,Furniture,Sofa,7,29473.84,206316.88,48729.52,North,Chandigarh,UPI,4.4
ORD00052,2025-03-03,Customer_95,Office Supplies,Folder,6,80.76,484.56,200.32,West,Mumbai,COD,3.2
ORD00053,2024-06-21,Customer_60,Office Supplies,Marker,5,98.45,492.25,207.6,West,Pune,COD,3.9
ORD00054,2024-08-24,Customer_49,Electronics,Laptop,2,68564.98,137129.96,13458.2,West,Mumbai,Card,1.2
ORD00055,2025-01-20,Customer_11,Furniture,Desk,6,19747.05,118482.3,22837.18,West,Ahmedabad,COD,2.0
ORD00056,2024-11-29,Customer_32,Furniture,Chair,4,13702.59,54810.36,10790.73,North,Lucknow,UPI,4.0
ORD00057,2024-04-21,Customer_99,Electronics,Laptop,3,58413.66,175240.98,16974.43,South,Hyderabad,COD,3.8
ORD00058,2024-06-08,Customer_92,Furniture,Desk,5,5378.17,26890.85,4612.88,North,Chandigarh,COD,2.6
ORD00059,2024-03-02,Customer_55,Electronics,Mobile,5,43712.32,218561.6,40657.86,South,Chennai,UPI,2.4
ORD00060,2024-02-24,Customer_82,Office Supplies,Scissors,1,347.35,347.35,138.71,North,Lucknow,COD,4.8
ORD00061,2024-05-18,Customer_94,Furniture,Bookshelf,3,9337.95,28013.85,6665.29,South,Kochi,COD,2.9
ORD00062,2025-01-19,Customer_86,Office Supplies,Printer Paper,2,634.71,1269.42,377.08,East,Bhubaneswar,COD,3.3
ORD00063,2025-02-12,Customer_77,Furniture,Table,6,4909.44,29456.64,5087.96,North,Jaipur,Net Banking,2.4
ORD00064,2024-10-11,Customer_83,Office Supplies,Printer Paper,2,589.63,1179.26,347.16,North,Chandigarh,Card,3.8
ORD00065,2024-05-04,Customer_48,Office Supplies,Highlighter,2,58.25,116.5,55.25,West,Mumbai,Net Banking,3.7
ORD00066,2024-05-18,Customer_16,Furniture,Cupboard,9,13269.78,119428.02,21756.36,East,Guwahati,Net Banking,2.0
ORD00067,2024-04-08,Customer_36,Office Supplies,Marker,9,191.16,1720.44,793.83,East,Kolkata,Card,4.0
ORD00068,2024-01-08,Customer_7,Office Supplies,Printer Paper,5,572.98,2864.9,804.37,North,Chandigarh,Card,2.1
ORD00069,2024-08-28,Customer_24,Office Supplies,Printer Paper,2,1347.26,2694.52,820.33,South,Kochi,COD,2.8
ORD00070,2024-11-18,Customer_73,Electronics,Tablet,2,22021.22,44042.44,5921.28,West,Mumbai,UPI,1.6
ORD00071,2025-02-08,Customer_49,Furniture,Chair,9,15759.98,141839.82,26435.97,South,Chennai,Card,4.1
ORD00072,2025-01-13,Customer_27,Furniture,Sofa,5,38431.47,192157.35,37204.32,East,Guwahati,UPI,4.8
ORD00073,2024-03-21,Customer_89,Office Supplies,Marker,3,63.18,189.54,85.88,East,Kolkata,UPI,2.6
ORD00074,2025-03-16,Customer_30,Office Supplies,Highlighter,4,57.45,229.8,107.31,East,Kolkata,COD,1.3
ORD00075,2024-05-16,Customer_22,Furniture,Wardrobe,2,25426.0,50852.0,10112.33,South,Kochi,Card,1.3
ORD00076,2024-07-25,Customer_64,Furniture,Cupboard,2,16717.45,33434.9,5290.92,East,Guwahati,Net Banking,3.0
ORD00077,2024-04-27,Customer_87,Furniture,Chair,6,12866.85,77201.1,11699.97,North,Jaipur,UPI,5.0
ORD00078,2024-05-22,Customer_56,Furniture,Cupboard,8,17974.1,143792.8,23946.36,North,Chandigarh,Card,5.0
ORD00079,2024-02-23,Customer_89,Office Supplies,Highlighter,6,73.09,438.54,205.79,North,Jaipur,Card,2.3
ORD00080,2024-02-29,Customer_1,Furniture,Table,8,3408.96,27271.68,4776.47,West,Mumbai,COD,4.5
ORD00081,2024-09-12,Customer_27,Office Supplies,Highlighter,4,87.4,349.6,170.38,West,Mumbai,COD,4.0
ORD00082,2024-01-15,Customer_40,Furniture,Cupboard,8,27021.17,216169.36,36550.5,South,Bangalore,Card,3.8
ORD00083,2024-08-24,Customer_20,Office Supplies,Notebook,4,298.06,1192.24,506.43,West,Mumbai,UPI,3.6
ORD00084,2024-05-04,Customer_50,Furniture,Bookshelf,7,10347.24,72430.68,17297.51,East,Patna,COD,3.2
ORD00085,2024-05-16,Customer_39,Electronics,Monitor,7,14817.13,103719.91,17348.51,North,Lucknow,UPI,2.1
ORD00086,2025-01-25,Customer_42,Office Supplies,Highlighter,9,82.96,746.64,350.88,South,Kochi,COD,2.8
ORD00087,2024-12-27,Customer_85,Electronics,Headphones,7,1611.06,11277.42,2984.93,West,Pune,COD,2.5
ORD00088,2025-03-21,Customer_57,Office Supplies,Stapler,3,476.49,1429.47,508.05,West,Mumbai,UPI,4.5
ORD00089,2024-02-08,Customer_34,Electronics,Printer,7,18063.99,126447.93,21268.21,North,Chandigarh,COD,4.1
ORD00090,2024-07-13,Customer_98,Furniture,Cupboard,6,26308.53,157851.18,30238.06,West,Mumbai,Net Banking,3.5
ORD00091,2024-04-26,Customer_13,Furniture,Wardrobe,4,28197.15,112788.6,24278.39,North,Delhi,UPI,2.7
ORD00092,2025-02-11,Customer_48,Office Supplies,Pen,5,136.48,682.4,322.61,West,Pune,UPI,2.2
ORD00093,2024-03-30,Customer_49,Furniture,Desk,10,17999.61,179996.1,32543.91,South,Kochi,UPI,3.4
ORD00094,2024-05-10,Customer_60,Office Supplies,Marker,4,103.01,412.04,179.34,West,Pune,UPI,4.6
ORD00095,2024-06-02,Customer_59,Furniture,Bookshelf,8,11452.36,91618.88,21920.65,South,Chennai,COD,3.8
ORD00096,2024-10-21,Customer_38,Furniture,Desk,2,8218.53,16437.06,3358.34,West,Surat,Net Banking,5.0
ORD00097,2024-01-26,Customer_37,Electronics,Mouse,10,2635.68,26356.8,9665.0,East,Kolkata,COD,4.3
ORD00098,2025-01-27,Customer_81,Electronics,Keyboard,10,1627.82,16278.2,5133.08,South,Hyderabad,Card,3.5
ORD00099,2024-02-16,Customer_54,Office Supplies,Notebook,1,194.89,194.89,80.67,East,Guwahati,Net Banking,2.3
ORD00100,2024-03-25,Customer_62,Electronics,Headphones,9,8025.13,72226.17,17070.77,South,Bangalore,Net Banking,4.7
ORD00101,2024-04-25,Customer_72,Furniture,Bookshelf,8,11628.93,93031.44,17531.35,East,Kolkata,COD,4.9
ORD00102,2024-12-10,Customer_82,Furniture,Chair,5,11658.3,58291.5,10334.33,West,Mumbai,Net Banking,3.3
ORD00103,2024-06-16,Customer_82,Furniture,Chair,1,13151.84,13151.84,2717.04,South,Kochi,Card,3.6
ORD00104,2024-06-04,Customer_31,Furniture,Bookshelf,2,3397.77,6795.54,1609.02,East,Guwahati,COD,1.5
ORD00105,2024-10-03,Customer_94,Office Supplies,Stapler,6,585.82,3514.92,1281.5,West,Surat,COD,3.3
ORD00106,2024-01-17,Customer_57,Electronics,Mouse,10,1401.91,14019.1,5286.48,North,Jaipur,Net Banking,1.9
ORD00107,2024-02-01,Customer_16,Electronics,Keyboard,9,4557.63,41018.67,12662.04,North,Lucknow,COD,2.1
ORD00108,2024-03-05,Customer_98,Furniture,Chair,1,16162.3,16162.3,2660.54,South,Chennai,Card,1.3
ORD00109,2024-11-01,Customer_19,Office Supplies,Marker,6,159.39,956.34,446.92,South,Hyderabad,UPI,2.1
